,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,ספק מידע,מספר מנפיק,ענף מסחר,דירוג,שם מדרג,תאריך רכישה,"מח""מ",סוג מטבע,שיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,תאריך,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"חשמל     אגח 29- חברת החשמל לישראל בע""מ",6000236,TASE,אחר,600,חיפושי נפט וגז,AA,מעלות,30/03/17,7.23,שקל חדש,4.50,0.02,"10,083,567.00",118.60,"11,959.11",1.10,0.82,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"חשמל אגח 27- חברת החשמל לישראל בע""מ",6000210,TASE,אחר,600,חיפושי נפט וגז,AA,מעלות,25/02/16,8.74,שקל חדש,3.85,0.02,"4,913,273.00",114.22,"5,611.94",0.18,0.38,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"שטראוס גרופ ב'- שטראוס גרופ בע""מ",7460140,TASE,אחר,746,מזון,Aa2,מידרוג,03/02/09,0.83,שקל חדש,4.10,0.01,"6,084,501.21",123.68,"7,525.31",4.09,0.52,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"אגוד הנפ  אגח ו- אגוד הנפקות בע""מ",1126762,TASE,אחר,1239,בנקים,Aa3,מידרוג,26/03/14,0.83,שקל חדש,1.60,0.71,"12,575,124.22",102.69,"12,913.40",2.46,0.88,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"אגוד הנפקות אגח ט- אגוד הנפקות בע""מ",1139492,TASE,אחר,1239,בנקים,Aa3,מידרוג,24/11/16,4.32,שקל חדש,0.95,0.83,"14,985,841.00",100.00,"14,985.84",3.47,1.03,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"אמות אגח א- אמות השקעות בע""מ",1097385,TASE,אחר,1328,"נדל""ן ובינוי",Aa3,מידרוג,17/01/08,1.23,שקל חדש,4.95,0.01,"2,521,494.00",127.79,"3,222.22",0.65,0.22,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"אמות אגח ג- אמות השקעות בע""מ",1117357,TASE,אחר,1328,"נדל""ן ובינוי",Aa3,מידרוג,25/06/15,2.19,שקל חדש,4.90,0.01,"2,486,464.41",117.88,"2,931.04",0.63,0.20,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"בינל הנפק אוצר נדח הת ו- הבינלאומי הראשון הנפקות בע""מ",1110279,TASE,אחר,1153,בנקים,Aa3,מידרוג,26/05/10,0.02,שקל חדש,4.30,0.01,"291,442.43",117.90,343.61,0.42,0.02,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גזית גלוב אגח ד- גזית-גלוב בע""מ",1260397,TASE,אחר,126,"נדל""ן ובינוי",AA-,מעלות,06/01/09,2.96,שקל חדש,5.10,0.02,"3,591,788.00",129.16,"4,639.15",0.17,0.32,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גזית גלוב אגח ט- גזית-גלוב בע""מ",1260462,TASE,אחר,126,"נדל""ן ובינוי",AA-,מעלות,17/05/09,1.21,שקל חדש,5.30,0.01,"197,136.44",123.49,243.44,0.04,0.02,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
